problem_id,room_dim,stage_dim,musicians_count,instrument_count,attendees_count,pillar_count,radii_num,radii_min,radii_max,best_score,%% of total score,theoretical_max_score,newton_max_score,%% our score / Newton max
81,6887 x 3930,590 x 498,279,59,700,95,61 radii, 9.00, 103.00,274643430.,0.24,2477125478.,694219097.,39.56
82,4785 x 2577,157 x 588,88,82,700,57,44 radii, 6.00, 101.00,234943610.,0.21,1022732480.,405577950.,57.93
83,1855 x 5516,154 x 742,179,82,700,153,77 radii, 5.00, 104.00,505726190.,0.45,4743992514.,818331430.,61.80
84,4172 x 6853,422 x 2237,206,6,700,92,60 radii, 8.00, 104.00,600136930.,0.53,14040458543.3,1100192316.17,54.55
85,4504 x 4115,448 x 1193,61,3,400,76,52 radii, 5.00, 83.00,390909100.,0.35,8420165835.,690182748.,56.64
86,7586 x 5764,713 x 1050,504,3,400,111,63 radii, 5.00, 83.00,253032160.,0.22,13118499533.4,4062835742.85,6.23
87,9797 x 4805,1696 x 786,301,5,400,64,43 radii, 6.00, 84.00,181311350.,0.16,4096897227.,633113600.5,28.64
88,1680 x 4552,462 x 403,336,5,400,194,75 radii, 6.00, 84.00,963329010.,0.85,84405962012.,5488655934.,17.55
89,8328 x 3370,1600 x 698,123,5,400,174,68 radii, 5.00, 84.00,199053910.,0.18,5157438399.33,992868387.983,20.05
90,3196 x 8359,614 x 1006,682,5,400,183,75 radii, 5.00, 84.00,651499140.,0.57,94144106302.7,17982547388.,3.62
